Name,Qualification,Experience_in_years,Fees,Website,Degree,Specialization
Dr. Harveen Nakra,BDS,23.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-harveen-nakra-dentist?practice_id=653241&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,BDS,
Dr. Deepak Nakra,"BDS, Fellowship in Oral implantlogy, Certificate of Oral Implantology",23.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-deepak-nakra-dentist?practice_id=653241&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,"BDS, Fellowship",
Dr. Dheeraj Setia,"BDS, MDS - Conservative Dentistry & Endodontics",22.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-dheeraj-setia-dentist?practice_id=1416653&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,"BDS, MDS","Otolaryngology, Endodontics"
Dr. Geetanjali Marya,BDS,36.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-geetanjal-marya-dentist?practice_id=761075&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,BDS,
Dr. Kapil Saroha,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",14.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-kapil-saroha-dentist?practice_id=722366&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,"BDS, MDS","Otolaryngology, Orthopedics"
Dr. Karan Marya,BDS,40.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-karan-marya-dentist?practice_id=761075&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,BDS,
Dr. Tanvir Singh,"BDS, MDS - Orthodontics",28.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-tanvir-singh-dentist-1?practice_id=1151257&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,"BDS, MDS",Orthopedics
Dr. Radhika Sahni,"MDS - Prosthodontics, BDS",27.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-radhika-sahni-dentist-2?practice_id=749967&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,"BDS, MDS",Prosthodontics
Dr. Gunita Singh,BDS,25.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-gunita?practice_id=1151257&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,BDS,
Dr. (Maj) Pankaj N Surange,"MBBS, MD - Anaesthesiology",27.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-pankaj-n-surange-anesthesia-and-pain-medicine?practice_id=1405893&specialization=Doctor&referrer=doctor_listing&page_uid=9994ae90-24e6-4edb-8311-3bd07e39dd97,"MBBS, MD",
Dr. Tapeshwar Sehgal,"MBBS, MS - General Surgery, DNB - Plastic Surgery",25.0,699.0,https://www.practo.com/delhi//delhi/doctor/dr-tapeshwar-sehgal-cosmetic-plastic-surgeon-1?practice_id=1398883&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,General Practice
Dr. Saurabh Kumar Goyal,"MBBS, MS - General Surgery",15.0,799.0,https://www.practo.com/delhi//delhi/doctor/saurabh-kumar-goyal-gastrointestinal-surgeon?practice_id=1344371&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,General Practice
Dr. Lokesh Handa,"MBBS, MS - General Surgery, MCh - Plastic Surgery",13.0,699.0,https://www.practo.com/delhi//delhi/doctor/dr-lokesh-handa-cosmetic-plastic-surgeon?practice_id=1404589&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,General Practice
Dr. Malvika Sabharwal,"MBBS, DGO",42.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-malvika-sabharwal-gynecologist-obstetrician-3?practice_id=696578&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,
Dr. Vinay Sabharwal,"MBBS, MS - General Surgery",47.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-vinay-sabharwal-general-surgeon-3?practice_id=696578&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,General Practice
Dr. Sachin Kandhari,"MBBS, DNB - Neurosurgery",20.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-sachin-kandhari-neurosurgeon-1-general-physician?practice_id=1129353&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,"Urology, Neurology"
Dr. Naveen Talwar,"MBBS, MS - Orthopaedics",32.0,2000.0,https://www.practo.com/delhi//delhi/doctor/dr-naveen-talwar-orthopedist?practice_id=777584&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,Orthopedics
Dr. Sanjay K R Chaudhary,"MBBS, MD - General Medicine, DM - Neurology",27.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-sanjay-k-r-chaudhary-neurologist?practice_id=1129353&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,"MBBS, MD","Urology, Neurology, General Practice"
Dr. Sachin Ambekar,"MS - General Surgery, MD - Physician",21.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-sachin-ambekar-general-surgeon?practice_id=1431379&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MD,General Practice
Dr. Anil Raheja,"MBBS, MS - Orthopaedics, M.Ch - Orthopaedics",26.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-anil-raheja-orthopedist-1?practice_id=696578&specialization=Doctor&referrer=doctor_listing&page_uid=e1f1b310-f0ce-4ab2-810c-1836dab24c98,MBBS,Orthopedics
Dr. Dewaker Sharma,"MBBS, DNB - Neurosurgery",20.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-dewaker-sharma-neurosurgeon?practice_id=1129353&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MBBS,"Urology, Neurology"
Dr. Abhishek Bansal,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",18.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-abhishek-bansal-orthopedist-2?practice_id=1431379&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MBBS,Orthopedics
Dr. Kishan Raj,"MBBS, MD - General Medicine, DM - Neurology",17.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-krishan-raj-neurologist?practice_id=1129353&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,"MBBS, MD","Urology, Neurology, General Practice"
Dr. Vikas Gupta,"MS - General Surgery, MCh - Neuro Surgery, MBBS",24.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-vikas-gupta-7-neurosurgeon-4?practice_id=1129353&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MBBS,"Urology, Neurology, General Practice"
Dr. Manish Mathur,"MRCP (UK), MD - Physician",25.0,800.0,https://www.practo.com/delhi//delhi/doctor/manish-mathur-dentist?practice_id=782982&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MD,General Practice
Dr. Amitabh Khanna,"MBBS, Diploma in Cardiology",34.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-amitabh-khanna-diabetologist?practice_id=898093&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,"MBBS, Diploma",Cardiology
Dr. Hari Kumar Yadav,"MBBS, DNB - Family Medicine",16.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-hari-kumar-yadav-internal-medicine?practice_id=702104&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MBBS,
Dr. K.S. Walia,MBBS,49.0,600.0,https://www.practo.com/delhi//delhi/doctor/dr-k-s-walia-general-physician?practice_id=1136007&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MBBS,
Dr. Ankit Nijhara,MBBS,,600.0,https://www.practo.com/delhi//delhi/doctor/dr-ankit-nijhara-general-physician?practice_id=1298025&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MBBS,
Dr. (Maj.)Sharad Shrivastava,MBBS,30.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-54-general-physician-1?practice_id=1071396&specialization=Doctor&referrer=doctor_listing&page_uid=e3b3196c-311f-42eb-8515-b23c96976343,MBBS,
Dr. Nikhilesh Pathak,MBBS,,800.0,https://www.practo.com/delhi//delhi/doctor/dr-nikhilesh-pathak-general-physician?practice_id=1297367&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,MBBS,
Dr. Sham Sunder,"MBBS, MD - Medicine, DM - Nephrology",47.0,1500.0,https://www.practo.com/delhi//delhi/doctor/sham-sunder-nephrologist?practice_id=895079&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,"MBBS, MD",Nephrology
Dr. Yuvraj Arora Monga,"MBBS, MD - Pharmacology",26.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-yuvraj-arora-monga-sexologist?practice_id=693424&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,"MBBS, MD",
Dr. Sunny Sehgal,MD - Physician,13.0,500.0,https://www.practo.com/delhi//delhi/doctor/sunny-sehgal-1-general-physician?practice_id=1306635&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,MD,General Practice
Dr. Pankaj Kumar,"MBBS, DNB - Family Medicine, DNHE",16.0,700.0,https://www.practo.com/delhi//delhi/doctor/drpankaj-kumar-general-physician-11?practice_id=1136406&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,MBBS,
Dr. Usha Gupta,MBBS,40.0,600.0,https://www.practo.com/delhi//delhi/doctor/dr-usha-gupta-1-general-practitioner?practice_id=1282082&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,MBBS,
Dr. Ayush Gupta,"MBBS, MD - Medicine",33.0,800.0,https://www.practo.com/delhi//delhi/doctor/ayush-gupta-pulmonologist?practice_id=1122671&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,"MBBS, MD",
Dr. Anupama Khanna,MBBS,32.0,900.0,https://www.practo.com/delhi//delhi/doctor/dr-anupama-khanna-gynecologist-obstetrician?practice_id=898093&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,MBBS,
Dr. Bimal Kumar Dubey,MD - Physician,26.0,600.0,https://www.practo.com/delhi//delhi/doctor/bimal-kumar-dubey-general-physician?practice_id=1190309&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,MD,General Practice
